acl_name,conformer_definition,nodes,deviant_properties,flag
"['six-swiss-to-janest-ucast-p2', 'six-swiss-to-janest-ucast-p1']","{'lines': [{'action': 'PERMIT', 'ipWildcard': '146.109.44.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '146.109.112.0/20', 'lengthRange': '20-20'}, {'action': 'PERMIT', 'ipWildcard': '146.109.40.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '146.109.45.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '146.109.56.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '146.109.96.0/20', 'lengthRange': '20-20'}]}",['ld4-nsw-core1'],"[['lines=lengthRange', '20-20']]",Needs inspection
"['ice-no-export-to-janest-ucast-p2', 'ice-no-export-to-janest-ucast-p1']","{'lines': [{'action': 'PERMIT', 'ipWildcard': '63.247.112.0/20', 'lengthRange': '20-20'}, {'action': 'PERMIT', 'ipWildcard': '63.247.112.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '63.247.113.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '63.247.114.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '63.247.115.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '63.247.120.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '63.247.121.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '63.247.124.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '63.247.125.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '63.247.126.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '63.247.127.0/24', 'lengthRange': '24-24'}]}",['chi-nsw-101b'],"[['lines=lengthRange', '20-20']]",Needs inspection
"['jpmorgan-to-jx-p2', 'jpmorgan-to-jx-p1']","{'lines': [{'action': 'PERMIT', 'ipWildcard': '169.82.216.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '169.70.85.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '169.124.192.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '169.124.194.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '169.96.32.0/23', 'lengthRange': '23-23'}, {'action': 'PERMIT', 'ipWildcard': '169.96.32.0/20', 'lengthRange': '20-20'}]}",['eny4-nsw-exec1'],"[['lines=lengthRange', '20-20']]",Needs inspection
"['quanthouse-to-janest-ucast-p1', 'quanthouse-to-janest-ucast-p2']","{'lines': [{'action': 'PERMIT', 'ipWildcard': '172.16.152.0/22', 'lengthRange': '22-22'}]}",['tko-nsw-a1107b'],"[['lines=lengthRange', '22-22']]",Needs inspection
"['nasdaq-dr-to-janest-ucast-p1', 'nasdaq-dr-to-janest-ucast-p2']","{'lines': [{'action': 'PERMIT', 'ipWildcard': '206.200.80.0/20', 'lengthRange': '20-20'}]}",['chi-nsw-102b'],"[['lines=lengthRange', '20-20']]",Needs inspection
['nasdaq-ultra-to-janest-ucast-p2'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '206.200.55.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '206.200.40.0/22', 'lengthRange': '22-22'}, {'action': 'PERMIT', 'ipWildcard': '206.200.148.0/22', 'lengthRange': '22-22'}, {'action': 'PERMIT', 'ipWildcard': '206.200.232.0/21', 'lengthRange': '21-21'}]}",['car-nsw-626-27b'],"[['lines=lengthRange', '22-22'], ['lines=lengthRange', '21-21']]",Needs inspection
['nasdaq-ultra-to-janest-ucast-p2'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '206.200.52.0/23', 'lengthRange': '23-23'}, {'action': 'PERMIT', 'ipWildcard': '206.200.120.0/21', 'lengthRange': '21-21'}, {'action': 'PERMIT', 'ipWildcard': '206.200.212.0/23', 'lengthRange': '23-23'}, {'action': 'PERMIT', 'ipWildcard': '206.200.240.0/22', 'lengthRange': '22-22'}, {'action': 'PERMIT', 'ipWildcard': '206.200.248.128/26', 'lengthRange': '26-26'}, {'action': 'PERMIT', 'ipWildcard': '206.200.110.0/23', 'lengthRange': '23-23'}, {'action': 'PERMIT', 'ipWildcard': '206.200.54.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '206.200.60.0/22', 'lengthRange': '22-22'}, {'action': 'PERMIT', 'ipWildcard': '206.200.106.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '206.200.224.0/21', 'lengthRange': '21-21'}]}",['car-nsw-626-26b'],"[['lines=lengthRange', '21-21'], ['lines=lengthRange', '22-22']]",Needs inspection
"['cboedr-to-janest-ucast-p2', 'cboedr-to-janest-ucast-p1']","{'lines': [{'action': 'PERMIT', 'ipWildcard': '170.137.0.0/18', 'lengthRange': '18-18'}, {'action': 'PERMIT', 'ipWildcard': '170.137.64.0/19', 'lengthRange': '19-19'}, {'action': 'PERMIT', 'ipWildcard': '170.137.192.0/19', 'lengthRange': '19-19'}, {'action': 'PERMIT', 'ipWildcard': '170.137.224.0/19', 'lengthRange': '19-19'}, {'action': 'PERMIT', 'ipWildcard': '170.137.255.124', 'lengthRange': '32-32'}]}",['cbo-nsw-core1'],"[['lines=lengthRange', '18-18']]",Needs inspection
['ebs-ultra-to-janest-mcast-p1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '50.93.139.248', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '50.93.139.128/29', 'lengthRange': '29-29'}]}",['ld4-nsw-core1'],"[['lines=lengthRange', '29-29']]",Needs inspection
"['jpm-to-janest-ucast-p2', 'jpm-to-janest-ucast-p1']","{'lines': [{'action': 'PERMIT', 'ipWildcard': '169.86.17.58', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.17.59', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.17.60', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.17.61', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.17.62', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.6.164', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.6.165', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.6.172', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.6.173', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.250.0/27', 'lengthRange': '27-27'}, {'action': 'PERMIT', 'ipWildcard': '169.86.250.32/27', 'lengthRange': '27-27'}, {'action': 'PERMIT', 'ipWildcard': '169.86.250.131', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.250.132', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.250.133', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.250.141', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.250.142', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.250.143', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.250.163', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.251.0/27', 'lengthRange': '27-27'}, {'action': 'PERMIT', 'ipWildcard': '169.86.251.32/27', 'lengthRange': '27-27'}, {'action': 'PERMIT', 'ipWildcard': '169.86.251.131', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.251.132', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.251.133', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.251.141', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.251.142', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.251.143', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.86.251.163', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '169.81.246.0/23', 'lengthRange': '23-23'}, {'action': 'PERMIT', 'ipWildcard': '169.111.72.0/21', 'lengthRange': '21-21'}, {'action': 'PERMIT', 'ipWildcard': '169.124.193.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '169.124.195.0/24', 'lengthRange': '24-24'}]}",['ny4-nsw-ext1'],"[['lines=lengthRange', '23-23'], ['lines=lengthRange', '21-21']]",Needs inspection
