acl_name,conformer_definition,nodes,deviant_properties,flag
['VI-INI-networks'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '193.126.0.0/16', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '126.21.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '196.1.253.0/25', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '126.217.0.0/16', 'lengthRange': '16-24'}, {'action': 'PERMIT', 'ipWildcard': '126.230.0.0/16', 'lengthRange': '16-24'}, {'action': 'PERMIT', 'ipWildcard': '126.20.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.89.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.218.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.170.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.173.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.174.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.175.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.163.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.162.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.182.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.53.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.171.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.254.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.196.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.45.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.46.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '196.1.253.128/25', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '196.1.252.143', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '126.52.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.37.0.0/16', 'lengthRange': '16-16'}]}",['rt62in82rh'],"[['lines=ipWildcard', '126.21.0.0/16'], ['lines=ipWildcard', '126.171.0.0/16'], ['lines=ipWildcard', '126.196.0.0/16'], ['lines=ipWildcard', '196.1.253.128/25'], ['lines=ipWildcard', '126.52.0.0/16'], ['lines=ipWildcard', '126.37.0.0/16']]",Needs inspection
['OCB-Ext-networks'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '193.93.82.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '193.93.13.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '193.93.12.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '193.93.15.0/24', 'lengthRange': '24-24'}]}",['rt62bs83'],"[['lines=ipWildcard', '193.93.82.0/24'], ['lines=ipWildcard', '193.93.13.0/24'], ['lines=ipWildcard', '193.93.12.0/24'], ['lines=ipWildcard', '193.93.15.0/24']]",Needs inspection
['OCE-networks'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '126.217.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '193.126.41.0/24', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '126.212.96.0/19', 'lengthRange': '19-19'}, {'action': 'PERMIT', 'ipWildcard': '126.212.48.0/21', 'lengthRange': '21-21'}, {'action': 'PERMIT', 'ipWildcard': '126.192.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.182.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.53.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.173.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.174.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.175.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.163.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.162.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '193.93.108.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '126.230.160.0/21', 'lengthRange': '21-21'}, {'action': 'PERMIT', 'ipWildcard': '196.1.253.139', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '196.1.253.136', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '196.1.252.165', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '126.212.209.16/29', 'lengthRange': '29-29'}, {'action': 'PERMIT', 'ipWildcard': '126.122.216.224/28', 'lengthRange': '28-28'}, {'action': 'PERMIT', 'ipWildcard': '196.1.253.137', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '196.1.253.143', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '126.236.0.0/16', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '126.172.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '196.1.253.142', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '126.122.237.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '126.122.236.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '126.158.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.210.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '196.1.251.0/24', 'lengthRange': '24-32'}, {'action': 'PERMIT', 'ipWildcard': '126.150.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.110.224.0/20', 'lengthRange': '20-20'}]}",['rt73in08m4ce'],"[['lines=ipWildcard', '126.192.0.0/16'], ['lines=ipWildcard', '193.93.108.0/24'], ['lines=ipWildcard', '196.1.252.165'], ['lines=ipWildcard', '126.158.0.0/16'], ['lines=ipWildcard', '126.210.0.0/16'], ['lines=ipWildcard', '196.1.251.0/24'], ['lines=ipWildcard', '126.150.0.0/16']]",Needs inspection
['VE-RNI-networks'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '126.221.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.220.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.190.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.185.0.0/16', 'lengthRange': '16-18'}, {'action': 'PERMIT', 'ipWildcard': '126.191.128.0/17', 'lengthRange': '17-17'}, {'action': 'PERMIT', 'ipWildcard': '126.231.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '192.81.40.0/24', 'lengthRange': '24-24'}]}",['rt62in82rh'],"[['lines=ipWildcard', '126.190.0.0/16'], ['lines=ipWildcard', '126.185.0.0/16'], ['lines=ipWildcard', '126.191.128.0/17'], ['lines=ipWildcard', '192.81.40.0/24'], ['lines=lengthRange', '16-18'], ['lines=lengthRange', '17-17']]",Needs inspection
['OCC-Corp-networks'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '126.20.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.89.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.23.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.183.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.170.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.45.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.46.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.52.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.156.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.71.0.0/17', 'lengthRange': '17-17'}, {'action': 'PERMIT', 'ipWildcard': '126.5.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '126.205.0.0/18', 'lengthRange': '18-18'}]}",['rt55in70hras'],"[['lines=lengthRange', '17-17']]",Needs inspection
['46'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '196.1.253.143', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '196.1.253.139', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '196.1.253.136', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '196.1.253.137', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '193.126.66.0/23', 'lengthRange': '23-32'}, {'action': 'PERMIT', 'ipWildcard': '126.217.162.0/24', 'lengthRange': '24-32'}, {'action': 'PERMIT', 'ipWildcard': '126.217.164.0/24', 'lengthRange': '24-32'}, {'action': 'PERMIT', 'ipWildcard': '126.217.165.0/24', 'lengthRange': '24-32'}]}",['st73in21p4as'],"[['lines=lengthRange', '23-32']]",Needs inspection
['45'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '196.1.253.129', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '184.140.192.0/24', 'lengthRange': '24-32'}, {'action': 'PERMIT', 'ipWildcard': '184.140.194.0/24', 'lengthRange': '24-32'}, {'action': 'PERMIT', 'ipWildcard': '193.126.50.0/24', 'lengthRange': '24-32'}, {'action': 'PERMIT', 'ipWildcard': '126.217.0.0/16', 'lengthRange': '16-32'}]}",['st73in21p4as'],"[['lines=lengthRange', '16-32']]",Needs inspection
['evmsn-networks'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '196.1.62.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '196.1.57.128/25', 'lengthRange': '25-25'}]}",['rt75in11hrds'],"[['lines=lengthRange', '25-25']]",Needs inspection
['DEX-networks'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '126.101.154.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '126.101.152.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '126.101.150.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '126.123.0.0/16', 'lengthRange': '16-16'}]}",['rt55in70hras'],"[['lines=ipWildcard', '126.101.154.0/24'], ['lines=ipWildcard', '126.101.150.0/24'], ['lines=ipWildcard', '126.123.0.0/16']]",Needs inspection
['45'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '126.217.163.0/24', 'lengthRange': '24-32'}, {'action': 'PERMIT', 'ipWildcard': '126.217.0.0/16', 'lengthRange': '16-32'}]}",['st73in25p4as'],"[['lines=ipWildcard', '126.217.163.0/24'], ['lines=ipWildcard', '126.217.0.0/16']]",Needs inspection
