acl_name,conformer_definition,nodes,deviant_properties,flag
['PBR_SP'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~PBR_SP~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': '104'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.SetNextHop', 'destinationVrf': False, 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.IpNextHop', 'ips': ['192.168.254.37']}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtredge01-sjc4'],"[['statements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.SetNextHop']]",Needs inspection
['PBR'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~PBR~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': '105'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.SetNextHop', 'destinationVrf': False, 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.IpNextHop', 'ips': ['192.168.254.37']}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtredge01-sjc4'],"[['statements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.SetNextHop']]",Needs inspection
['EU-NETWORKS_OUT'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~EU-NETWORKS_OUT~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'EU-NETWORKS_OUT'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtrborder02-lhr10'],"[['statements=falseStatements=type', 'ReturnLocalDefaultAction']]",Needs inspection
['DENY_DEFAULT_ROUTE'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~DENY_DEFAULT_ROUTE~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'DENY_DEFAULT_ROUTE'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtruc01-cdg10'],"[['statements=falseStatements=type', 'ReturnLocalDefaultAction']]",Needs inspection
['STATIC_TO_EIGRP'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~STATIC_TO_EIGRP~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'DEFAULT_ROUTE'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtruc01-cdg10'],"[['statements=falseStatements=type', 'ReturnLocalDefaultAction']]",Needs inspection
['STATIC-to-OSPF'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~STATIC-to-OSPF~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': '99'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['swcore01-bldgb-mdf1-1-sjc10'],"[['statements=falseStatements=type', 'ReturnLocalDefaultAction']]",Needs inspection
['ISP_OUT'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~ISP_OUT~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'ISP_OUT'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.PrependAsPath', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralAsList', 'list': [{'as': 63112, 'class': 'org.batfish.datamodel.routing_policy.expr.ExplicitAs'}, {'as': 63112, 'class': 'org.batfish.datamodel.routing_policy.expr.ExplicitAs'}]}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtrborder01-hyd11'],"[['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet']]",Needs inspection
['Voice_Bypass'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~Voice_Bypass~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~Voice_Bypass~20~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': 'voice_bypass'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.SetNextHop', 'destinationVrf': False, 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.IpNextHop', 'ips': ['10.165.241.193']}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': 'voice_bypass_deny'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}]}",['swcore02-sin20'],"[['statements=falseStatements=class', 'org.batfish.datamodel.routing_policy.statement.If'], ['statements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement']]",Needs inspection
['Voice_Bypass'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~Voice_Bypass~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~Voice_Bypass~20~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': 'voice_bypass'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.SetNextHop', 'destinationVrf': False, 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.IpNextHop', 'ips': ['10.61.241.193']}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': 'voice_bypass_deny'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}]}",['swcore01-sfo10'],"[['statements=falseStatements=class', 'org.batfish.datamodel.routing_policy.statement.If'], ['statements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement']]",Needs inspection
['Voice_Bypass'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~Voice_Bypass~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~Voice_Bypass~20~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': 'voice_bypass'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.SetNextHop', 'destinationVrf': False, 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.IpNextHop', 'ips': ['10.166.241.193']}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': 'voice_bypass_deny'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}]}",['swcore01-hyd11'],"[['statements=falseStatements=class', 'org.batfish.datamodel.routing_policy.statement.If'], ['statements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement']]",Needs inspection
['site_code'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~site_code~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'site_code'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.SetCommunity', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralCommunitySet', 'communities': ['65242:10002', '65245:65167', '65535:65281']}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtredge01-hyd11'],"[['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet'], ['statements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.SetCommunity']]",Needs inspection
['IN_ATT_MPLS'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~IN_ATT_MPLS~5~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'SAN1'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}]}",['rtredge01-ams20'],"[['statements=falseStatements=type', 'ReturnTrue'], ['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet'], ['statements=trueStatements=type', 'ReturnFalse']]",Needs inspection
