acl_name,conformer_definition,nodes,deviant_properties,flag
['PBR'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~PBR~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': '105'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.SetNextHop', 'destinationVrf': False, 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.IpNextHop', 'ips': ['192.168.254.37']}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtredge01-sjc4'],"[['statements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.SetNextHop']]",Needs inspection
['PBR_SP'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~PBR_SP~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': '104'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.SetNextHop', 'destinationVrf': False, 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.IpNextHop', 'ips': ['192.168.254.37']}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtredge01-sjc4'],"[['statements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.SetNextHop']]",Needs inspection
['SJC4_GCX_ROUTES'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~SJC4_GCX_ROUTES~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchCommunitySet', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': '15'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}]}",['rtruc01-cdg10'],"[['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.MatchCommunitySet']]",Needs inspection
['SJC4_GCX_ROUTES'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~SJC4_GCX_ROUTES~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~SJC4_GCX_ROUTES~20~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'inbound_dualmpls_site'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.PrependAsPath', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralAsList', 'list': [{'as': 1, 'class': 'org.batfish.datamodel.routing_policy.expr.ExplicitAs'}, {'as': 1, 'class': 'org.batfish.datamodel.routing_policy.expr.ExplicitAs'}, {'as': 1, 'class': 'org.batfish.datamodel.routing_policy.expr.ExplicitAs'}]}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchCommunitySet', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': '15'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}]}",['rtredge02.ams4.nl'],"[['statements=falseStatements=class', 'org.batfish.datamodel.routing_policy.statement.If'], ['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.MatchCommunitySet']]",Needs inspection
['SJC4_UCCE_BACKUP'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~SJC4_UCCE_BACKUP~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': '10'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtredge01-sjc4'],"[['statements=falseStatements=type', 'ReturnLocalDefaultAction'], ['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList']]",Needs inspection
['san1_ucce_backup'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~san1_ucce_backup~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList', 'list': '10'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtredge01-san1'],"[['statements=falseStatements=type', 'ReturnLocalDefaultAction'], ['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.MatchIpAccessList']]",Needs inspection
['PRIM_DIA_out'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~PRIM_DIA_out~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'DEFAULT'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.SetLocalPreference', 'localPreference': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralLong', 'value': 400}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtrborder01-hyd11'],"[['statements=falseStatements=type', 'ReturnTrue'], ['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet'], ['statements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.SetLocalPreference']]",Needs inspection
['ISP_OUT'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~ISP_OUT~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'ISP_OUT'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.PrependAsPath', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralAsList', 'list': [{'as': 63112, 'class': 'org.batfish.datamodel.routing_policy.expr.ExplicitAs'}, {'as': 63112, 'class': 'org.batfish.datamodel.routing_policy.expr.ExplicitAs'}]}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtrborder01-hyd11'],"[['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet']]",Needs inspection
['EU-NETWORKS_IN'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~EU-NETWORKS_IN~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchAsPath', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedAsPathSet', 'name': '21'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.SetLocalPreference', 'localPreference': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralLong', 'value': 99}}, {'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rtrborder02-lhr10'],"[['statements=falseStatements=type', 'ReturnLocalDefaultAction'], ['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.MatchAsPath']]",Needs inspection
['IN_ATT_MPLS'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~IN_ATT_MPLS~5~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'SAN1'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}]}",['rtredge01-ams20'],"[['statements=falseStatements=type', 'ReturnTrue'], ['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet'], ['statements=trueStatements=type', 'ReturnFalse']]",Needs inspection
